INFORMATION TYPE,DATE,PERIOD,USEP ($/MWh),LCP ($/MWh),DEMAND (MW),TCL (MW)
USEP,01 Aug 2020,1,67.82,0.0,5434.034,0.0
USEP,01 Aug 2020,2,60.8,0.0,5355.195,0.0
USEP,01 Aug 2020,3,59.84,0.0,5238.196,0.0
USEP,01 Aug 2020,4,57.54,0.0,5157.871,0.0
USEP,01 Aug 2020,5,57.45,0.0,5085.284,0.0
USEP,01 Aug 2020,6,53.42,0.0,5031.717,0.0
USEP,01 Aug 2020,7,43.85,0.0,4990.347,0.0
USEP,01 Aug 2020,8,41.6,0.0,4962.977,0.0
USEP,01 Aug 2020,9,41.55,0.0,4949.638,0.0
USEP,01 Aug 2020,10,41.55,0.0,4950.766,0.0
USEP,01 Aug 2020,11,41.6,0.0,4982.952,0.0
USEP,01 Aug 2020,12,43.84,0.0,5050.072,0.0
USEP,01 Aug 2020,13,50.41,0.0,5114.711,0.0
USEP,01 Aug 2020,14,55.52,0.0,5181.091,0.0
USEP,01 Aug 2020,15,57.54,0.0,5269.328,0.0
USEP,01 Aug 2020,16,62.59,0.0,5417.598,0.0
USEP,01 Aug 2020,17,67.22,0.0,5570.545,0.0
USEP,01 Aug 2020,18,67.76,0.0,5688.578,0.0
USEP,01 Aug 2020,19,62.63,0.0,5775.91,0.0
USEP,01 Aug 2020,20,67.49,0.0,5865.768,0.0
USEP,01 Aug 2020,21,68.77,0.0,5941.302,0.0
USEP,01 Aug 2020,22,68.47,0.0,5922.61,0.0
USEP,01 Aug 2020,23,67.85,0.0,5883.302,0.0
USEP,01 Aug 2020,24,67.83,0.0,5862.04,0.0
USEP,01 Aug 2020,25,66.73,0.0,5857.612,0.0
USEP,01 Aug 2020,26,65.46,0.0,5827.091,0.0
USEP,01 Aug 2020,27,62.62,0.0,5802.117,0.0
USEP,01 Aug 2020,28,62.63,0.0,5783.042,0.0
USEP,01 Aug 2020,29,62.62,0.0,5730.236,0.0
USEP,01 Aug 2020,30,62.63,0.0,5715.162,0.0
USEP,01 Aug 2020,31,62.63,0.0,5705.331,0.0
USEP,01 Aug 2020,32,62.63,0.0,5714.332,0.0
USEP,01 Aug 2020,33,62.64,0.0,5739.987,0.0
USEP,01 Aug 2020,34,62.64,0.0,5767.342,0.0
USEP,01 Aug 2020,35,62.63,0.0,5773.256,0.0
USEP,01 Aug 2020,36,62.64,0.0,5768.928,0.0
USEP,01 Aug 2020,37,65.47,0.0,5800.248,0.0
USEP,01 Aug 2020,38,67.6,0.0,5854.824,0.0
USEP,01 Aug 2020,39,68.56,0.0,5908.038,0.0
USEP,01 Aug 2020,40,68.59,0.0,5914.305,0.0
USEP,01 Aug 2020,41,68.67,0.0,5925.353,0.0
USEP,01 Aug 2020,42,68.59,0.0,5916.909,0.0
USEP,01 Aug 2020,43,67.88,0.0,5891.647,0.0
USEP,01 Aug 2020,44,65.54,0.0,5813.677,0.0
USEP,01 Aug 2020,45,62.67,0.0,5726.484,0.0
USEP,01 Aug 2020,46,62.64,0.0,5656.253,0.0
USEP,01 Aug 2020,47,61.02,0.0,5583.119,0.0
USEP,01 Aug 2020,48,60.09,0.0,5468.411,0.0
USEP,02 Aug 2020,1,65.42,0.0,5358.952,0.0
USEP,02 Aug 2020,2,63.62,0.0,5287.663,0.0
USEP,02 Aug 2020,3,63.62,0.0,5245.646,0.0
USEP,02 Aug 2020,4,58.4,0.0,5173.79,0.0
USEP,02 Aug 2020,5,58.44,0.0,5098.122,0.0
USEP,02 Aug 2020,6,60.15,0.0,5047.0,0.0
USEP,02 Aug 2020,7,59.38,0.0,5013.597,0.0
USEP,02 Aug 2020,8,59.37,0.0,4982.872,0.0
USEP,02 Aug 2020,9,60.57,0.0,4973.37,0.0
USEP,02 Aug 2020,10,57.34,0.0,4966.397,0.0
USEP,02 Aug 2020,11,57.34,0.0,4989.994,0.0
USEP,02 Aug 2020,12,57.17,0.0,5042.154,0.0
USEP,02 Aug 2020,13,53.44,0.0,5105.254,0.0
USEP,02 Aug 2020,14,53.45,0.0,5138.468,0.0
USEP,02 Aug 2020,15,53.49,0.0,5151.818,0.0
USEP,02 Aug 2020,16,53.5,0.0,5210.752,0.0
USEP,02 Aug 2020,17,57.55,0.0,5291.301,0.0
USEP,02 Aug 2020,18,58.54,0.0,5384.081,0.0
USEP,02 Aug 2020,19,58.72,0.0,5476.9,0.0
USEP,02 Aug 2020,20,60.15,0.0,5564.203,0.0
USEP,02 Aug 2020,21,58.74,0.0,5624.45,0.0
USEP,02 Aug 2020,22,58.76,0.0,5639.817,0.0
USEP,02 Aug 2020,23,58.73,0.0,5638.142,0.0
USEP,02 Aug 2020,24,59.57,0.0,5660.999,0.0
USEP,02 Aug 2020,25,58.73,0.0,5662.316,0.0
USEP,02 Aug 2020,26,58.73,0.0,5663.693,0.0
USEP,02 Aug 2020,27,58.73,0.0,5654.866,0.0
USEP,02 Aug 2020,28,58.72,0.0,5635.955,0.0
USEP,02 Aug 2020,29,58.81,0.0,5652.888,0.0
USEP,02 Aug 2020,30,58.76,0.0,5677.39,0.0
USEP,02 Aug 2020,31,59.56,0.0,5692.976,0.0
USEP,02 Aug 2020,32,60.11,0.0,5706.912,0.0
USEP,02 Aug 2020,33,60.2,0.0,5721.206,0.0
USEP,02 Aug 2020,34,60.28,0.0,5755.926,0.0
USEP,02 Aug 2020,35,60.6,0.0,5792.187,0.0
USEP,02 Aug 2020,36,60.7,0.0,5797.908,0.0
USEP,02 Aug 2020,37,60.75,0.0,5840.66,0.0
USEP,02 Aug 2020,38,61.23,0.0,5922.918,0.0
USEP,02 Aug 2020,39,61.69,0.0,6005.977,0.0
USEP,02 Aug 2020,40,62.64,0.0,6069.503,0.0
USEP,02 Aug 2020,41,62.67,0.0,6107.25,0.0
USEP,02 Aug 2020,42,62.65,0.0,6099.8,0.0
USEP,02 Aug 2020,43,62.65,0.0,6069.444,0.0
USEP,02 Aug 2020,44,61.64,0.0,5978.428,0.0
USEP,02 Aug 2020,45,60.66,0.0,5891.855,0.0
USEP,02 Aug 2020,46,60.34,0.0,5802.023,0.0
USEP,02 Aug 2020,47,60.21,0.0,5703.999,0.0
USEP,02 Aug 2020,48,59.61,0.0,5588.467,0.0
USEP,03 Aug 2020,1,59.75,0.0,5460.683,0.0
USEP,03 Aug 2020,2,58.64,0.0,5367.704,0.0
USEP,03 Aug 2020,3,57.74,0.0,5287.757,0.0
USEP,03 Aug 2020,4,57.64,0.0,5236.909,0.0
USEP,03 Aug 2020,5,56.48,0.0,5180.32,0.0
USEP,03 Aug 2020,6,56.27,0.0,5130.198,0.0
USEP,03 Aug 2020,7,53.48,0.0,5101.859,0.0
USEP,03 Aug 2020,8,53.42,0.0,5074.703,0.0
USEP,03 Aug 2020,9,50.39,0.0,5056.309,0.0
USEP,03 Aug 2020,10,50.39,0.0,5096.377,0.0
USEP,03 Aug 2020,11,53.43,0.0,5154.884,0.0
USEP,03 Aug 2020,12,57.48,0.0,5291.753,0.0
USEP,03 Aug 2020,13,58.64,0.0,5464.918,0.0
USEP,03 Aug 2020,14,60.2,0.0,5657.008,0.0
USEP,03 Aug 2020,15,58.82,0.0,5872.169,0.0
USEP,03 Aug 2020,16,61.41,0.0,6130.207,0.0
USEP,03 Aug 2020,17,59.82,0.0,6344.598,0.0
USEP,03 Aug 2020,18,67.74,0.0,6482.873,0.0
USEP,03 Aug 2020,19,68.25,0.0,6558.203,0.0
USEP,03 Aug 2020,20,68.86,0.0,6620.895,0.0
USEP,03 Aug 2020,21,69.7,0.0,6681.251,0.0
USEP,03 Aug 2020,22,69.7,0.0,6689.521,0.0
USEP,03 Aug 2020,23,69.22,0.0,6647.584,0.0
USEP,03 Aug 2020,24,68.89,0.0,6625.442,0.0
USEP,03 Aug 2020,25,68.9,0.0,6605.423,0.0
USEP,03 Aug 2020,26,68.9,0.0,6622.649,0.0
USEP,03 Aug 2020,27,69.52,0.0,6659.904,0.0
USEP,03 Aug 2020,28,69.94,0.0,6690.067,0.0
USEP,03 Aug 2020,29,69.9,0.0,6685.892,0.0
USEP,03 Aug 2020,30,72.36,0.0,6705.907,0.0
USEP,03 Aug 2020,31,72.84,0.0,6706.935,0.0
USEP,03 Aug 2020,32,78.4,0.0,6730.29,0.0
USEP,03 Aug 2020,33,76.4,0.0,6714.753,0.0
USEP,03 Aug 2020,34,72.37,0.0,6698.064,0.0
USEP,03 Aug 2020,35,72.26,0.0,6692.085,0.0
USEP,03 Aug 2020,36,69.68,0.0,6613.708,0.0
USEP,03 Aug 2020,37,68.89,0.0,6525.431,0.0
USEP,03 Aug 2020,38,68.88,0.0,6487.535,0.0
USEP,03 Aug 2020,39,68.83,0.0,6469.688,0.0
USEP,03 Aug 2020,40,68.87,0.0,6460.031,0.0
USEP,03 Aug 2020,41,67.65,0.0,6424.59,0.0
USEP,03 Aug 2020,42,63.94,0.0,6393.875,0.0
USEP,03 Aug 2020,43,62.76,0.0,6324.802,0.0
USEP,03 Aug 2020,44,60.29,0.0,6195.711,0.0
USEP,03 Aug 2020,45,57.84,0.0,6054.469,0.0
USEP,03 Aug 2020,46,57.37,0.0,5940.711,0.0
USEP,03 Aug 2020,47,56.5,0.0,5842.717,0.0
USEP,03 Aug 2020,48,55.57,0.0,5717.786,0.0
USEP,04 Aug 2020,1,60.11,0.0,5610.012,0.0
USEP,04 Aug 2020,2,59.46,0.0,5503.117,0.0
USEP,04 Aug 2020,3,58.67,0.0,5428.224,0.0
USEP,04 Aug 2020,4,58.02,0.0,5360.602,0.0
USEP,04 Aug 2020,5,57.56,0.0,5303.253,0.0
USEP,04 Aug 2020,6,56.54,0.0,5253.727,0.0
USEP,04 Aug 2020,7,53.51,0.0,5216.06,0.0
USEP,04 Aug 2020,8,53.51,0.0,5200.553,0.0
USEP,04 Aug 2020,9,56.47,0.0,5223.783,0.0
USEP,04 Aug 2020,10,57.21,0.0,5263.21,0.0
USEP,04 Aug 2020,11,58.0,0.0,5324.217,0.0
USEP,04 Aug 2020,12,59.42,0.0,5447.667,0.0
USEP,04 Aug 2020,13,59.63,0.0,5604.261,0.0
USEP,04 Aug 2020,14,63.65,0.0,5784.936,0.0
USEP,04 Aug 2020,15,60.38,0.0,5970.034,0.0
USEP,04 Aug 2020,16,62.66,0.0,6190.488,0.0
USEP,04 Aug 2020,17,60.38,0.0,6381.331,0.0
USEP,04 Aug 2020,18,66.52,0.0,6510.367,0.0
USEP,04 Aug 2020,19,68.84,0.0,6553.124,0.0
USEP,04 Aug 2020,20,68.85,0.0,6597.108,0.0
USEP,04 Aug 2020,21,68.83,0.0,6596.552,0.0
USEP,04 Aug 2020,22,68.82,0.0,6593.833,0.0
USEP,04 Aug 2020,23,68.85,0.0,6589.296,0.0
USEP,04 Aug 2020,24,66.49,0.0,6564.411,0.0
