nwp_globalirrad,nwp_directirrad,nwp_temperature,nwp_humidity,nwp_windspeed,lmd_diffuseirrad,lmd_pressure,lmd_totalirrad,lmd_temperature,date_time,predicted_pv,predicted_load,demand,predicted_USEP,predicted_cost
0.0,0.0,26.15,89.73,1.88,0.0,100.79,0.0,26.15,2021-08-01 00:00:00,2.9696266e-11,19.458038,5434.034,61.77909688284539,1202.1000147502523
0.0,0.0,26.11,89.905,1.915,0.0,100.75,0.0,26.11,2021-08-01 00:30:00,5.919044e-12,19.544928,5355.195,60.94859343805735,1191.2358704477426
0.0,0.0,26.07,90.08,1.95,0.0,100.71,0.0,26.07,2021-08-01 01:00:00,1.6547277e-13,19.575857,5238.196,58.39460819064176,1143.1244995110221
0.0,0.0,26.045,90.265,2.015,0.0,100.69,0.0,26.045,2021-08-01 01:30:00,1.5965881e-11,19.575857,5157.871,57.07444772478645,1117.2812270134837
0.0,0.0,26.02,90.45,2.08,0.0,100.67,0.0,26.02,2021-08-01 02:00:00,1.1639278e-11,19.49379,5085.284,55.454653363352655,1081.021367187345
0.0,0.0,26.0,90.645,2.105,0.0,100.66,0.0,26.0,2021-08-01 02:30:00,2.6741874e-13,19.386818,5031.717,51.96494719395014,1007.4349736287082
0.0,0.0,25.98,90.84,2.13,0.0,100.65,0.0,25.98,2021-08-01 03:00:00,2.573764e-12,18.627645,4990.347,45.670540670776425,850.7346185731677
0.0,0.0,25.965,90.975,2.075,0.0,100.66,0.0,25.965,2021-08-01 03:30:00,2.8224866e-12,18.55961,4962.977,43.697698967009494,811.0122507249757
0.0,0.0,25.95,91.11,2.02,0.0,100.67,0.0,25.95,2021-08-01 04:00:00,1.2813612e-11,18.677404,4949.638,38.8789821701169,726.1584570995718
0.0,0.0,25.945,91.155,1.93,0.0,100.69,0.0,25.945,2021-08-01 04:30:00,4.2259724e-12,18.677404,4950.766,41.27031132207581,770.8222777680096
0.0,0.0,25.94,91.2,1.84,0.0,100.71,0.0,25.94,2021-08-01 05:00:00,3.7602855e-12,18.56678,4982.952,41.93312743730077,778.5631518401696
0.045,0.07,26.025,91.265,1.785,0.045,100.74,0.045,26.025,2021-08-01 05:30:00,2.0604362e-11,18.619513,5050.072,46.295405748089586,861.9979091658748
0.09,0.14,26.11,91.33,1.73,0.09,100.77,0.09,26.11,2021-08-01 06:00:00,4.082141e-12,18.630272,5114.711,50.299423052513056,937.0919329111832
0.095,0.47,26.415,91.075,1.8,0.095,100.805,0.095,26.415,2021-08-01 06:30:00,2.1318336e-12,18.574703,5181.091,54.34185519061586,1009.3838206345821
0.1,0.8,26.72,90.82,1.87,0.1,100.84,0.1,26.72,2021-08-01 07:00:00,1.7732383e-11,15.598863,5269.328,53.35229396712032,832.2351243278903
0.17,1.19,26.875,90.33,2.075,0.15,100.86,0.17,26.875,2021-08-01 07:30:00,1.064115e-11,15.610528,5417.598,61.64628875402812,962.3311166901851
0.24,1.58,27.03,89.84,2.28,0.2,100.88,0.24,27.03,2021-08-01 08:00:00,3.8094033e-12,17.384878,5570.545,65.90828939433528,1145.8075703089619
0.41,1.935,27.115,89.535,2.415,0.255,100.895,0.41,27.115,2021-08-01 08:30:00,3.9983034e-11,17.559193,5688.578,63.90555654157252,1122.1300010833295
0.58,2.29,27.2,89.23,2.55,0.31,100.91,0.58,27.2,2021-08-01 09:00:00,1.0930039e-12,17.420267,5775.91,62.12422495432467,1082.2205858723305
0.815,2.545,27.275,88.765,2.695,0.545,100.895,0.815,27.275,2021-08-01 09:30:00,8.126378e-12,17.243658,5865.768,49.35821440285023,851.1161686530226
1.05,2.8,27.35,88.3,2.84,0.78,100.88,1.05,27.35,2021-08-01 10:00:00,1.19031885e-11,17.452545,5941.302,68.43979965455765,1194.4486832613372
1.305,2.945,27.34,87.98,2.95,0.935,100.855,1.305,27.34,2021-08-01 10:30:00,9.38025e-13,17.452545,5922.61,70.54449648742026,1231.180999448978
1.56,3.09,27.33,87.66,3.06,1.09,100.83,1.56,27.33,2021-08-01 11:00:00,4.344861e-12,17.193502,5883.302,67.87952154989264,1167.0866895268273
1.805,3.15,27.26,87.41,3.095,1.16,100.78,1.805,27.26,2021-08-01 11:30:00,1.5801912e-12,16.8343,5862.04,72.87002532299347,1226.7158672947537
