date_time,nwp_globalirrad,nwp_directirrad,nwp_temperature,nwp_humidity,nwp_windspeed,lmd_diffuseirrad,lmd_pressure,lmd_totalirrad,lmd_temperature,USEP,LOAD,predicted_load,demand
2021-08-01 00:00:00,0.0,0.0,26.15,89.73,1.88,0.0,100.79,0.0,26.15,67.82,19.842219,19.458038,5434.034
2021-08-01 00:30:00,0.0,0.0,26.11,89.905,1.915,0.0,100.75,0.0,26.11,60.8,19.9147186,19.544928,5355.195
2021-08-01 01:00:00,0.0,0.0,26.07,90.08,1.95,0.0,100.71,0.0,26.07,59.84,20.1587188,19.575857,5238.196
2021-08-01 01:30:00,0.0,0.0,26.045,90.265,2.015,0.0,100.69,0.0,26.045,57.54,20.5432498,19.575857,5157.871
2021-08-01 02:00:00,0.0,0.0,26.02,90.45,2.08,0.0,100.67,0.0,26.02,57.45,20.12825,19.49379,5085.284
2021-08-01 02:30:00,0.0,0.0,26.0,90.645,2.105,0.0,100.66,0.0,26.0,53.42,19.7326564,19.386818,5031.717
2021-08-01 03:00:00,0.0,0.0,25.98,90.84,2.13,0.0,100.65,0.0,25.98,43.85,19.2289688,18.627645,4990.347
2021-08-01 03:30:00,0.0,0.0,25.965,90.975,2.075,0.0,100.66,0.0,25.965,41.6,18.6414374,18.55961,4962.977
2021-08-01 04:00:00,0.0,0.0,25.95,91.11,2.02,0.0,100.67,0.0,25.95,41.55,18.4345312,18.677404,4949.638
2021-08-01 04:30:00,0.0,0.0,25.945,91.155,1.93,0.0,100.69,0.0,25.945,41.55,18.7258752,18.677404,4950.766
2021-08-01 05:00:00,0.0,0.0,25.94,91.2,1.84,0.0,100.71,0.0,25.94,41.6,18.8454374,18.56678,4982.952
2021-08-01 05:30:00,0.045,0.07,26.025,91.265,1.785,0.045,100.74,0.045,26.025,43.84,18.9879064,18.619513,5050.072
2021-08-01 06:00:00,0.09,0.14,26.11,91.33,1.73,0.09,100.77,0.09,26.11,50.41,19.0341874,18.630272,5114.711
2021-08-01 06:30:00,0.095,0.47,26.415,91.075,1.8,0.095,100.805,0.095,26.415,55.52,18.9017812,18.574703,5181.091
2021-08-01 07:00:00,0.1,0.8,26.72,90.82,1.87,0.1,100.84,0.1,26.72,57.54,15.3771564,15.598863,5269.328
2021-08-01 07:30:00,0.17,1.19,26.875,90.33,2.075,0.15,100.86,0.17,26.875,62.59,15.7169686,15.610528,5417.598
2021-08-01 08:00:00,0.24,1.58,27.03,89.84,2.28,0.2,100.88,0.24,27.03,67.22,17.805562600000002,17.384878,5570.545
2021-08-01 08:30:00,0.41,1.935,27.115,89.535,2.415,0.255,100.895,0.41,27.115,67.76,17.88275,17.559193,5688.578
2021-08-01 09:00:00,0.58,2.29,27.2,89.23,2.55,0.31,100.91,0.58,27.2,62.63,16.889781199999998,17.420267,5775.91
2021-08-01 09:30:00,0.815,2.545,27.275,88.765,2.695,0.545,100.895,0.815,27.275,67.49,17.0943438,17.243658,5865.768
2021-08-01 10:00:00,1.05,2.8,27.35,88.3,2.84,0.78,100.88,1.05,27.35,68.77,17.577374799999998,17.452545,5941.302
2021-08-01 10:30:00,1.305,2.945,27.34,87.98,2.95,0.935,100.855,1.305,27.34,68.47,17.657469000000003,17.452545,5922.61
2021-08-01 11:00:00,1.56,3.09,27.33,87.66,3.06,1.09,100.83,1.56,27.33,67.85,16.9549062,17.193502,5883.302
2021-08-01 11:30:00,1.805,3.15,27.26,87.41,3.095,1.16,100.78,1.805,27.26,67.83,16.8043124,16.8343,5862.04
2021-08-01 12:00:00,2.05,3.21,27.19,87.16,3.13,1.23,100.73,2.05,27.19,66.73,16.3770312,16.766483,5857.612
2021-08-01 12:30:00,2.29,3.13,27.12,86.91,3.04,1.215,100.69,2.29,27.12,65.46,16.2137502,16.73417,5827.091
2021-08-01 13:00:00,2.53,3.05,27.05,86.66,2.95,1.2,100.65,2.53,27.05,62.62,16.580156,16.73417,5802.117
2021-08-01 13:30:00,2.23,2.82,26.945,86.68,2.75,1.07,100.625,2.23,26.945,62.63,16.550875200000004,16.785023,5783.042
2021-08-01 14:00:00,1.93,2.59,26.84,86.7,2.55,0.94,100.6,1.93,26.84,62.62,16.5372186,16.817526,5730.236
2021-08-01 14:30:00,1.72,2.265,26.73,87.05,2.37,0.88,100.585,1.72,26.73,62.63,16.5892814,16.775389,5715.162
2021-08-01 15:00:00,1.51,1.94,26.62,87.4,2.19,0.82,100.57,1.51,26.62,62.63,16.4841562,16.840305,5705.331
2021-08-01 15:30:00,1.2,1.55,26.54,87.66,2.085,0.665,100.575,1.2,26.54,62.63,16.6988436,17.052132,5714.332
2021-08-01 16:00:00,0.89,1.16,26.46,87.92,1.98,0.51,100.58,0.89,26.46,62.64,17.332344000000003,17.074366,5739.987
2021-08-01 16:30:00,0.61,0.775,26.325,88.705,1.83,0.36,100.595,0.61,26.325,62.64,16.689812399999997,17.254396,5767.342
