nwp_globalirrad,nwp_directirrad,nwp_temperature,nwp_humidity,nwp_windspeed,lmd_diffuseirrad,lmd_pressure,lmd_totalirrad,lmd_temperature,date_time,predicted_pv,predicted_load,predicted_USEP,predicted_cost
0.0,0.0,25.15,94.49,2.96,0.0,100.66,0.0,25.15,2021-01-01 00:00:00,8.463677e-12,18.295124,164.28855453502106,3005.6794769975827
0.0,0.0,25.14,94.59,2.985,0.0,100.625,0.0,25.14,2021-01-01 00:30:00,3.2504117e-11,18.295124,162.06131616136602,2964.931874770128
0.0,0.0,25.13,94.69,3.01,0.0,100.59,0.0,25.13,2021-01-01 01:00:00,3.706156e-12,18.305866,188.7057945909703,3454.422989205128
0.0,0.0,25.135,94.63,3.09,0.0,100.555,0.0,25.135,2021-01-01 01:30:00,3.6131426e-12,18.305866,221.77793080920833,4059.8370831498382
0.0,0.0,25.14,94.57,3.17,0.0,100.52,0.0,25.14,2021-01-01 02:00:00,2.9028542e-12,18.150671,197.72853827365014,3588.9056455153577
0.0,0.0,25.11,94.655,3.175,0.0,100.51,0.0,25.11,2021-01-01 02:30:00,1.3064819e-11,18.10568,204.99687304888104,3711.6077844209863
0.0,0.0,25.08,94.74,3.18,0.0,100.5,0.0,25.08,2021-01-01 03:00:00,4.1709808e-13,17.903662,202.94505545264133,3633.459677395263
0.0,0.0,25.045,94.795,3.215,0.0,100.505,0.0,25.045,2021-01-01 03:30:00,3.9171733e-14,17.903662,91.90113029683313,1645.3667742524565
0.0,0.0,25.01,94.85,3.25,0.0,100.51,0.0,25.01,2021-01-01 04:00:00,2.0216697e-12,17.876638,88.00351342697715,1573.206952262032
0.0,0.0,25.0,94.84,3.27,0.0,100.545,0.0,25.0,2021-01-01 04:30:00,8.0700654e-11,17.876638,103.52153752925575,1850.6170516055654
0.0,0.0,24.99,94.83,3.29,0.0,100.58,0.0,24.99,2021-01-01 05:00:00,1.1629935e-11,17.899591,150.43344743297655,2692.6971817685303
0.03,0.055,25.03,94.715,3.335,0.035,100.62,0.03,25.03,2021-01-01 05:30:00,4.8755453e-12,17.899591,156.73092230188018,2805.41940625567
0.06,0.11,25.07,94.6,3.38,0.07,100.66,0.06,25.07,2021-01-01 06:00:00,1.4093919e-12,17.85343,158.72559254986226,2833.7962557972633
0.075,0.4,25.27,94.175,3.46,0.075,100.695,0.075,25.27,2021-01-01 06:30:00,6.026342e-12,17.007711,161.66073048176875,2749.47898408184
0.09,0.69,25.47,93.75,3.54,0.08,100.73,0.09,25.47,2021-01-01 07:00:00,8.26652e-14,15.8745,13.084522419229938,207.71025114406456
0.15,1.07,25.685,93.115,3.665,0.13,100.755,0.15,25.685,2021-01-01 07:30:00,1.0267215e-12,15.557908,52.57772996162819,817.9994855918009
0.21,1.45,25.9,92.48,3.79,0.18,100.78,0.21,25.9,2021-01-01 08:00:00,7.1207547e-13,17.338696,156.8545923827309,2719.6540935279754
0.29,1.79,26.08,91.875,3.915,0.23,100.78,0.29,26.08,2021-01-01 08:30:00,2.9279886e-12,17.43547,70.52230203614799,1229.5894814819906
0.37,2.13,26.26,91.27,4.04,0.28,100.78,0.37,26.26,2021-01-01 09:00:00,2.3125049e-11,17.817951,0.0,0.0
0.465,2.41,26.4,90.46,4.17,0.345,100.76,0.465,26.4,2021-01-01 09:30:00,4.987347e-13,17.855707,0.7812990428256198,13.95064678807433
